video_url_mp4,video_url_webm,title,start_time,end_time,gt_start_times,gt_end_times,gt_tags
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,32.0,42.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,42.0,52.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,52.0,62.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,62.0,72.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,72.0,82.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,82.0,92.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,92.0,102.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,102.0,112.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,112.0,122.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,122.0,132.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,132.0,142.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,142.0,152.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,152.0,162.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,162.0,172.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,172.0,182.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,182.0,192.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,192.0,202.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,202.0,212.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,212.0,222.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,222.0,232.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,232.0,242.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,242.0,252.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,252.0,262.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,262.0,272.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,272.0,282.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,282.0,292.0
http://cs.ubc.ca/~troniak/cmu_salad.mp4,http://cs.ubc.ca/~troniak/cmu_salad.webm,,32.0,292.0
